,,,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 2.2. The Great Eastern setting out from Ireland trailing the Cable. The pulses were broadened significantly on arrival and Kelvin explained this by treating the cable as a distributed R-C circuit.  About six to eight words per minute could be sent.,"Right can be bought from here I think:
https://www.ice-imagelibrary.com/image/1084/the-ss-great-eastern-under-way-23-july-1865",,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 2.3.  Heaviside’s circuit model of a cable, which now appears in every undergraduate course of electrical engineering.  The parameters per unit length are a resistance R, an inductance L, a capacitance C and a leakage conductance G.",https://app.diagrams.net/#G148Su-liV1WC49e49gT_YiEAbByINnjTk#%7B%22pageId%22%3A%22fnFmLGp60FHyrj9cmpb6%22%7D,Ignore comment in text about Archie not drawing them ,,,,,,,,,,,,,,,,,,,,,,
,Fig. 2.4. The input and output voltage of a rectangular unit pulse lasting 0.1 seconds. A 1 volt input voltage for 0.1 seconds (red) and the result at the far end of the cable (blue).,Hugh,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 2.5. A typical received signal (1922 Scientific American).,https://atlantic-cable.com/Article/SciAm/sa2.jpg,Possible copyright issue,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 2.6. The calculated decay length in metres for an ADSL line as a function of frequency,  . The decay length is the distance at which the signal whill have dropped to 37% of its original amplitude.",Hugh,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 2.7. The electrostatics of a charge and a conducting sphere.,https://app.diagrams.net/#G148Su-liV1WC49e49gT_YiEAbByINnjTk#%7B%22pageId%22%3A%22FWSmntaJqB1dfljGfNpG%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 2.8. Current flowing from a sphere in an infinite conducting medium.,From original manuscript,Added a sphere over the top in MS Word drawing,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 2.9. (a) A cow, (b) a cow equivalent circuit and (c) a human with legs together.","cow: By Keith Weller/USDA - www.ars.usda.gov: Image Number K5176-3, Public Domain, https://commons.wikimedia.org/w/index.php?curid=808501",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 3 Why are there two tides a day?,,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.1. The Normandy landings.   Note that the tide is very low.,"beach image: https://landinginnormandy.blogspot.com/2013/02/fishing-on-foot-in-france.html

landings image:By The original uploader was MIckStephenson at English Wikipedia. - Transferred from en.wikipedia to Commons., Public Domain, https://commons.wikimedia.org/w/index.php?curid=2263487",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.2. The centrifugal/centripetal force debate.,https://xkcd.com/123/,Possible copyright issue,,,,,,,,,,,,,,,,,,,,,,
